colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Barrio la Concepcion,Coyoacan,5,-0.26421715191834777,-0.28202030813876056,-0.23842515622558502,Estable
Bosque de Chapultepec,Miguel Hidalgo,1,0.013164291667973362,-0.0076896099942675615,0.04945421488469842,Estable
Bosque de Chapultepec,Miguel Hidalgo,3,0.01706470440115698,0.0056493997389125954,0.03056075757290498,Estable
Bosque de Chapultepec,Miguel Hidalgo,5,0.017065594274841816,0.012907648596968774,0.027909139314862032,Estable
Buenavista,Cuauhtemoc,1,0.42681825571268234,0.32603727890970224,0.623788111900976,Estable
Buenavista,Cuauhtemoc,3,0.4001418279355684,0.3252605337418185,0.577952818619388,Estable
Buenavista,Cuauhtemoc,5,0.4001418279355684,0.3234885392717762,0.5772909753967322,Estable
Centro,Cuauhtemoc,1,1.5417800193985756,1.354574901018884,1.7900723538843242,Estable
Centro,Cuauhtemoc,3,1.4789884206954416,1.354574901018884,1.7573477910589557,Estable
Centro,Cuauhtemoc,5,1.4789884206954416,1.354574901018884,1.7565992506659278,Estable
Centro Urbano Presidente Aleman,Benito Juarez,1,-0.26911444106198323,-0.2514923984189599,-0.23886590093600918,Estable
Centro Urbano Presidente Aleman,Benito Juarez,3,-0.26725079938469887,-0.2522352975062291,-0.2421778086907796,Estable
Centro Urbano Presidente Aleman,Benito Juarez,5,-0.26718698493328247,-0.25279882005086035,-0.23365887591941215,Estable
Ciudad de los Deportes,Benito Juarez,1,-0.18708602930482437,-0.18218228028458366,-0.15872754900492492,Estable
Ciudad de los Deportes,Benito Juarez,3,-0.1858510006970144,-0.18384611686486343,-0.17293309427225065,Estable
Ciudad de los Deportes,Benito Juarez,5,-0.18621648358537582,-0.18450796008751916,-0.1627239792934638,Estable
Claveria,Azcapotzalco,1,-0.11002700246818824,-0.14096849550890206,-0.10375730061994498,Estable
Claveria,Azcapotzalco,3,-0.1074020842462341,-0.11724980204726865,-0.10473058348760304,Estable
Claveria,Azcapotzalco,5,-0.10717040815394191,-0.10765514236500406,-0.10515277726358378,Estable
Condesa,Cuauhtemoc,1,0.5920239614362095,0.5021312394445765,0.7598156057968206,Estable
Condesa,Cuauhtemoc,3,0.5541314707921907,0.5042615883559268,0.698000757863149,Estable
Condesa,Cuauhtemoc,5,0.5541314707921907,0.5044379935271275,0.696611310401781,Estable
Credito Constructor,Benito Juarez,1,-0.30218536073538677,-0.2897022029015629,-0.24879291216763616,Estable
Credito Constructor,Benito Juarez,3,-0.3014575264933666,-0.2811019585609865,-0.2580504031494283,Estable
Credito Constructor,Benito Juarez,5,-0.3013937120419502,-0.272583025789619,-0.2586139256940596,Estable
Cuauhtemoc,Cuauhtemoc,1,1.4372932289128177,1.3127150273371808,1.569201285444144,Estable
Cuauhtemoc,Cuauhtemoc,3,1.3923997411017595,1.3123346355896688,1.509388197529889,Estable
Cuauhtemoc,Cuauhtemoc,5,1.3923997411017595,1.3123346355896688,1.5089125358128086,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,1,-0.17774332256334582,-0.1974564142599977,-0.17683782112062568,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,3,-0.16725862941077038,-0.17680510609826638,-0.1766920997637628,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,5,-0.16725862941077038,-0.17859095309975906,-0.16872750364735026,Estable
Del Carmen,Coyoacan,1,-0.053514221818406656,-0.07985098558268933,-0.01778420909960083,Estable
Del Carmen,Coyoacan,3,-0.03562921114091127,-0.06082410818053933,-0.011917510836794834,Estable
Del Carmen,Coyoacan,5,-0.03562921114091127,-0.06066444846126613,-0.014131440103153115,Estable
Del Recreo,Azcapotzalco,1,-0.27039203899001923,-0.26724088678070534,-0.2595566010528652,Estable
Del Recreo,Azcapotzalco,3,-0.26163763158523895,-0.267989278608262,-0.2343348413059932,Estable
Del Recreo,Azcapotzalco,5,-0.26198725202426804,-0.26828630452138563,-0.22517382881263132,Estable
Del Valle Centro,Benito Juarez,1,0.07673945371443824,0.050499143726754805,0.09681456308424984,Estable
Del Valle Centro,Benito Juarez,3,0.07723926331240694,0.06279440534387881,0.06313967397617387,Estable
Del Valle Centro,Benito Juarez,5,0.0765556474133105,0.06274022232588235,0.06926178238930769,Estable
Del Valle Norte,Benito Juarez,1,0.4389313922458767,0.37459164921172544,0.44888664935475536,Estable
Del Valle Norte,Benito Juarez,3,0.4418110090484849,0.3891119067380302,0.4274289580244312,Estable
Del Valle Norte,Benito Juarez,5,0.441644037281294,0.39510927945736196,0.42625739262017565,Estable
Del Valle Sur,Benito Juarez,1,0.2766694020984601,0.24085064461899683,0.3048131873876317,Estable
Del Valle Sur,Benito Juarez,3,0.2839935786034781,0.2530128069359927,0.27103210446877185,Estable
Del Valle Sur,Benito Juarez,5,0.28350847382555217,0.25870626322403045,0.2694272128169462,Estable
Del valle Centro,Benito Juarez,1,-0.20828252187865176,-0.2095786185334018,-0.1954517265970557,Estable
Del valle Centro,Benito Juarez,3,-0.200246679298027,-0.2157827301884954,-0.19041066447447244,Estable
Del valle Centro,Benito Juarez,5,-0.20041365106521794,-0.21644457341115111,-0.180610047558242,Estable
Doctores,Cuauhtemoc,1,0.6611764521204029,0.5530893874912788,0.8252498382798799,Estable
Doctores,Cuauhtemoc,3,0.6866689495877748,0.5634270247560152,0.8116306637306425,Estable
Doctores,Cuauhtemoc,5,0.6865019778205838,0.5641705513287985,0.8109406807583133,Estable
Escandon,Miguel Hidalgo,1,0.4564497997169451,0.3940521022639142,0.4879657795265688,Estable
Escandon,Miguel Hidalgo,3,0.4570520173662094,0.4132017028511012,0.48333938048967945,Estable
Escandon,Miguel Hidalgo,5,0.4570520173662094,0.41724626560408873,0.4822019065288269,Estable
Extremadura Insurgentes,Benito Juarez,1,-0.22347406302758865,-0.21692017913415287,-0.18697032786368908,Estable
Extremadura Insurgentes,Benito Juarez,3,-0.21653455603804986,-0.20564846025908942,-0.19713849531498476,Estable
Extremadura Insurgentes,Benito Juarez,5,-0.2167015278052408,-0.20631030348174514,-0.18737611220666098,Estable
