evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-12,2026-01,595.5286913825734,1246.187436725894,2.0925732962298724,False,1803,48,2025-12
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-12,2026-01,579.1641749247514,1108.2458025888677,1.91352616506858,False,1803,73,2025-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-12,2026-01,579.1641749247514,1018.021515215526,1.75774255261523,False,1803,48,2025-12
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-01,2026-02,582.5693222989489,572.6434862199951,0.9829619657283287,False,1869,65,2026-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-01,2026-02,582.5693222989489,519.4212810701301,0.8916042455177309,False,1869,37,2026-01
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-01,2026-02,570.3172150072854,559.7170554204022,0.9814135724681784,False,1869,65,2026-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-01,2026-02,570.3172150072854,530.2057830956473,0.9296682076988931,False,1869,37,2026-01
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-02,2026-03,579.1592554183466,759.8447679395315,1.3119789778558741,False,1928,57,2026-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-02,2026-03,579.1592554183466,754.1506927329945,1.302147355287011,False,1928,34,2026-02
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-02,2026-03,559.8964784033409,789.7046442818242,1.4104476001239161,False,1928,57,2026-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-02,2026-03,559.8964784033409,793.1399666944006,1.4165832386661927,False,1928,34,2026-02
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-03,2026-04,568.4298467012892,611.712611981491,1.0761444275514036,False,1991,65,2026-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-03,2026-04,568.4298467012892,394.363004663289,0.6937760340204786,False,1991,40,2026-03
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-03,2026-04,559.0197631634807,609.3632817337929,1.0900567777522199,False,1991,65,2026-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-03,2026-04,559.0197631634807,404.0599041550773,0.7228007501353997,False,1991,40,2026-03
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-04,2026-05,559.329238124641,470.2517420334901,0.8407422855457791,False,2041,48,2026-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-04,2026-05,559.329238124641,495.7459672520705,0.8863222829441975,False,2041,25,2026-04
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-04,2026-05,550.0451425144081,444.35566772236007,0.8078530894593264,False,2041,48,2026-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-04,2026-05,550.0451425144081,485.51951118924023,0.8826902987812902,False,2041,25,2026-04
