colonia,alcaldia,n_periodos_con_datos,viajes_total_acumulado,km_ciclovia,establecimientos_denue_relacionados,aperturas_denue_en_ventana_panel,accidentes_ciclistas_en_ventana_panel,victimas_ciclistas_en_ventana_panel,poblacion_colonia_2020,poblacion_alcaldia_2020,indice_uso_ecobici_promedio,indice_demanda_compuesto_promedio,tendencia_pendiente_theilsen,tendencia_categoria
Del valle Centro,Benito Juarez,25,230777,,6,0,28,19,,434153,-0.35970580912205086,-0.169055888071813,-0.003409242078847229,Estable
Portales Norte,Benito Juarez,25,227219,,7,0,28,19,,434153,-0.36289543295206833,-0.17065069998682172,-0.003871940361533285,Estable
Tacuba,Miguel Hidalgo,20,120931,1.4069478055899691,3,1,12,11,13195.032242363868,414470,-0.4701710027265834,-0.17756340220351846,0.00030045899670529206,Estable
Niños Heroes de Chapultepec,Benito Juarez,17,100240,0.946962165153755,0,0,28,19,10997.120795317016,434153,-0.4940908634705388,-0.1790142876318902,0.000494894445103232,Estable
Santa Catarina,Coyoacan,17,212216,0.0,2,0,5,1,3312.528924892983,614447,-0.35760068194255173,-0.17960930560289928,0.0032847631753058415,Estable
Piedad Narvarte,Benito Juarez,16,168836,0.9846862244474108,1,0,28,19,4740.847301839064,434153,-0.40497028814743286,-0.19055161856449038,0.0008280860605340595,Estable
Extremadura Insurgentes,Benito Juarez,23,192060,1.30914280194569,0,0,28,19,3296.9854833383597,434153,-0.3979664483057347,-0.19583956201996233,-0.0028389436970066018,Estable
Xoco,Benito Juarez,21,117511,0.5389930024546307,1,0,28,19,5448.491814157558,434153,-0.47310657190688954,-0.1968736064224628,-0.0014704294144256944,Estable
Letran Valle,Benito Juarez,25,252448,3.8441576507053528,2,0,28,19,10982.887102901606,434153,-0.35226523576720115,-0.198377909486729,-0.0008380493109248304,Estable
Insurgentes San Borja,Benito Juarez,25,121426,0.2937713621713649,1,0,28,19,890.4060543120113,434153,-0.46064354638237914,-0.2031132165368949,-0.0036797837339854317,Estable
Independencia,Benito Juarez,17,92663,1.1133709978210002,6,0,28,19,9025.768352823095,434153,-0.5038348782323585,-0.207606027665105,0.0006609604499749978,Estable
Noche Buena,Benito Juarez,25,126233,0.7990986847027288,0,0,28,19,1823.02535011251,434153,-0.4486928760114568,-0.20858806451443293,-0.005253622754074132,Estable
Americas Unidas,Benito Juarez,17,182217,,1,0,28,19,,434153,-0.3942107077480059,-0.20861929946501198,0.0020516984337813457,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,25,141845,0.5598909029235637,0,0,12,11,6363.47192724256,414470,-0.44645666897313857,-0.20881379315576276,0.00015770877132837184,Estable
Postal,Benito Juarez,17,120070,0.5485578509484828,0,0,28,19,4091.5582470496984,434153,-0.46965334246936125,-0.21179175441508843,0.0005467082245778675,Estable
Angel Zimbron,Azcapotzalco,16,106089,0.0166503257397502,1,0,11,10,2714.2772001119547,432205,-0.4862299487548757,-0.21782909662220226,-0.0011816430348773966,Estable
Centro Urbano Presidente Aleman,Benito Juarez,25,60307,0.1663693200522399,0,0,28,19,770.0035912182456,434153,-0.5143135180513257,-0.22605691400343747,-0.0044003816124957625,Estable
Nueva Santa Maria,Azcapotzalco,16,164706,2.875477552655641,3,0,11,10,9734.375890121548,432205,-0.40845488363074967,-0.2284507413920757,0.0001407715256784856,Estable
Residencial Emperadores,Benito Juarez,25,45930,0.4684523919364831,0,0,28,19,1609.028237814523,434153,-0.5281753990974386,-0.23736800624063306,-0.0038199596183034912,Estable
Mariano Escobedo,Miguel Hidalgo,25,184955,,3,0,12,11,,414470,-0.3993740551798083,-0.23927308445242307,-0.001319110267020969,Estable
San Alvaro,Azcapotzalco,15,51868,0.3243558502787198,2,0,11,10,6423.966589900932,432205,-0.556767136556483,-0.24007491730438654,-0.0006059259544960264,Estable
Josefa Ortiz de Dominguez,Benito Juarez,16,84209,0.1865888108786696,0,0,28,19,1470.5391406797382,434153,-0.5138667773765413,-0.2426525394454284,0.001652027325635158,Estable
Tlatilco,Azcapotzalco,15,91693,1.1939827884784224,1,0,11,10,6231.427611218678,432205,-0.5013752869011362,-0.24782177135395103,0.00035892864611423596,Estable
Victoria de las Democracias,Azcapotzalco,15,54800,0.0,0,0,11,10,3681.8672614835145,432205,-0.5526972457209165,-0.24945754293966635,-0.0001637062542486237,Estable
Modelo Pensil,Miguel Hidalgo,25,105285,0.7476168143891591,1,1,12,11,3623.8820318664634,414470,-0.47534625873044534,-0.2494967343049494,-0.00029140851174019346,Estable
Nextitla,Miguel Hidalgo,20,85409,0.0,0,0,12,11,1267.4761951362534,414470,-0.5082831458292708,-0.2527303218532003,-0.0006915137601135907,Estable
Florida,Alvaro Obregon,16,108073,1.3770348423031933,5,1,9,8,6905.408597846009,759137,-0.483845448027019,-0.25500288915335045,0.0031330273552592743,Estable
Guadalupe Chimalistac,Alvaro Obregon,16,160048,,0,0,9,8,,759137,-0.41617106658145975,-0.25605919409935707,0.003592499037426259,Estable
Credito Constructor,Benito Juarez,24,56295,1.1660566332495608,1,0,28,19,1730.8238934596482,434153,-0.5217945658875845,-0.26114212348954274,-0.004296128475663406,Estable
Villa Coyoacan,Coyoacan,16,82147,0.0,1,0,5,1,2296.916059758132,614447,-0.5169525969912827,-0.26581212344023386,0.002670836826796321,Estable
Lomas de Chapultepec Seccion III,Miguel Hidalgo,25,117359,,0,0,12,11,,414470,-0.4637594513711997,-0.27146578254811876,-0.0007682267034075142,Estable
Plutarco Elias Calles,Miguel Hidalgo,20,153863,1.446577656516791,0,0,12,11,1215.7573736578108,414470,-0.4352217015304259,-0.27280539429823325,1.08172390781939e-05,Estable
San Diego Churubusco,Coyoacan,16,90767,0.4690852998004653,2,0,5,1,2549.473836862634,614447,-0.5056797800779627,-0.27617331691733815,0.0028215271070111594,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,25,100139,,0,0,12,11,,414470,-0.47786451211794406,-0.278518312921491,-0.0014373957337385766,Estable
Parque San Andres,Coyoacan,19,153620,1.5067941131304357,2,0,5,1,3383.228947907367,614447,-0.4349126088772912,-0.28079947868302907,0.003332530559490515,Estable
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,25,97967,,0,0,12,11,,414470,-0.4835046047886354,-0.28133835925683665,-0.0004937671577763347,Estable
San Mateo,Coyoacan,17,67005,0.1966449891211842,0,0,5,1,2531.2450906273116,614447,-0.5345747773872251,-0.2825701835844269,0.002082363383475689,Estable
Axotla,Alvaro Obregon,16,58883,0.0,0,0,9,8,1828.601117285683,759137,-0.547118957315164,-0.28550370551588955,0.0027228520867676907,Estable
Lomas de Chapultepec Seccion V,Miguel Hidalgo,25,82998,,0,0,12,11,,414470,-0.49432367719725223,-0.28674789546114504,-0.0010222609032844998,Estable
Sector Naval,Azcapotzalco,15,54816,0.3500790733050434,1,0,11,10,826.6849385743901,432205,-0.5524263335335066,-0.2879098367611956,-3.186685850705998e-05,Estable
