colonia,alcaldia,periodo_prueba,valor_real,prediccion_p50,prediccion_p10,prediccion_p90,error_abs,error,dentro_p10_p90,categoria_predicha,categoria_real,categoria_acierto,prediccion_naive,error_abs_naive,error_naive
Obrero Popular,Azcapotzalco,2026-06,-0.2886326953039406,-0.3377306347854186,-0.3407277264191702,-0.3305122972710554,0.049097939481478,0.049097939481478,False,Estable,Creciente,False,-0.2963421265392948,0.007709431235354225,0.007709431235354225
Parque San Andres,Coyoacan,2026-06,-0.2089322719670728,-0.258599762252482,-0.26087014971106703,-0.2559031531841961,0.04966749028540918,0.04966749028540918,False,Estable,Creciente,False,-0.218952420587679,0.010020148620606184,0.010020148620606184
Piedad Narvarte,Benito Juarez,2026-06,-0.1789063340577022,-0.19886235619622022,-0.20382453997695488,-0.19563400240340592,0.01995602213851802,0.01995602213851802,False,Estable,Creciente,False,-0.2072247551013809,0.028318421043678682,0.028318421043678682
Plutarco Elias Calles,Miguel Hidalgo,2026-06,-0.2491225771685065,-0.28537680459542564,-0.28818405098290734,-0.2824081443291117,0.03625422742691914,0.03625422742691914,False,Estable,Creciente,False,-0.2565189618465278,0.007396384678021284,0.007396384678021284
Polanco,Miguel Hidalgo,2026-06,1.2741347898998054,1.2732618729167928,1.2699102306715897,1.2767567924489267,0.0008729169830126171,0.0008729169830126171,True,Estable,Estable,True,1.2961699700947962,0.022035180194990733,-0.022035180194990733
Polanco Seccion I/ Los Morales,Miguel Hidalgo,2026-06,-0.2640600803168055,-0.30949546754437113,-0.31113041078676457,-0.3077137554828241,0.04543538722756563,0.04543538722756563,False,Estable,Creciente,False,-0.2781043168011304,0.014044236484324901,0.014044236484324901
Popotla,Miguel Hidalgo,2026-06,-0.1107230454265263,-0.1167891095946204,-0.11970255023141393,-0.11432078688210455,0.00606606416809409,0.00606606416809409,False,Estable,Estable,True,-0.1044103074311284,0.006312737995397902,-0.006312737995397902
Portales,Benito Juarez,2026-06,0.3506905362238368,0.39373384809587814,0.389589655648962,0.39879269641728815,0.04304331187204136,-0.04304331187204136,False,Estable,Decreciente,False,0.4173592485697681,0.0666687123459313,-0.0666687123459313
Portales Norte,Benito Juarez,2026-06,-0.2165222264708354,-0.27171610018448594,-0.27495512845581527,-0.2684478916994485,0.05519387371365053,0.05519387371365053,False,Estable,Creciente,False,-0.2052334791687868,0.011288747302048624,-0.011288747302048624
Postal,Benito Juarez,2026-06,-0.1956243991222454,-0.20445782110680918,-0.2090155498194059,-0.2013019729660414,0.008833421984563772,0.008833421984563772,False,Estable,Estable,True,-0.1986651430957399,0.003040743973494492,0.003040743973494492
