colonia,alcaldia,periodo_prueba,valor_real,prediccion_p50,prediccion_p10,prediccion_p90,error_abs,error,dentro_p10_p90,categoria_predicha,categoria_real,categoria_acierto,prediccion_naive,error_abs_naive,error_naive
Florida,Alvaro Obregon,2026-06,-0.2243911450992292,-0.22547888958966014,-0.24658384501359157,-0.1492122737513576,0.0010877444904309475,0.0010877444904309475,True,Estable,Estable,True,-0.2290542712711775,0.004663126171948306,0.004663126171948306
General Pedro Maria Anaya,Benito Juarez,2026-06,-0.1275484845251293,-0.12165157441836971,-0.17616649240213442,-0.10072831175719937,0.005896910106759579,-0.005896910106759579,True,Estable,Estable,True,-0.1236836242773048,0.0038648602478244948,-0.0038648602478244948
Granada,Miguel Hidalgo,2026-06,-0.0417823358892623,-0.05985789180308127,-0.11131898021389422,-0.03498486300910213,0.018075555913818972,0.018075555913818972,True,Estable,Estable,True,-0.0478901169060792,0.006107781016816902,0.006107781016816902
Guadalupe Chimalistac,Alvaro Obregon,2026-06,-0.2097135067680439,-0.2281852072484922,-0.2404347219185458,-0.20275821650401116,0.0184717004804483,0.0184717004804483,True,Decreciente,Estable,False,-0.2036565111954593,0.0060569955725846,-0.0060569955725846
Guadalupe Inn,Alvaro Obregon,2026-06,-0.2558335414934241,-0.2486943616183567,-0.2755744806021997,-0.2485440027367008,0.007139179875067375,-0.007139179875067375,True,Estable,Estable,True,-0.249145467731684,0.0066880737617400765,-0.0066880737617400765
Hipodromo,Cuauhtemoc,2026-06,0.8401157816029489,0.9428486380256664,0.8154749358961237,1.046619255264696,0.10273285642271757,-0.10273285642271757,True,Estable,Decreciente,False,0.9330618040750834,0.09294602247213457,-0.09294602247213457
Hipodromo Condesa,Cuauhtemoc,2026-06,0.000127228385933,0.08284043473189605,-0.003720212261643506,0.213226414106596,0.08271320634596305,-0.08271320634596305,True,Creciente,Decreciente,False,0.0249520032150978,0.0248247748291648,-0.0248247748291648
Hogar y Seguridad,Azcapotzalco,2026-06,-0.2752474339074118,-0.284668452745935,-0.3076380268626908,-0.2753505998943608,0.009421018838523199,0.009421018838523199,False,Estable,Estable,True,-0.2835491183847139,0.008301684477302118,0.008301684477302118
Ignacio Allende,Azcapotzalco,2026-06,-0.261246748167616,-0.2728998939226259,-0.29199831535411075,-0.25841994610180086,0.01165314575500992,0.01165314575500992,True,Estable,Estable,True,-0.2711492923916873,0.009902544224071275,0.009902544224071275
Independencia,Benito Juarez,2026-06,-0.1889172208284799,-0.1978726235146533,-0.22538064649370348,-0.18584008767429558,0.008955402686173397,0.008955402686173397,True,Estable,Estable,True,-0.1917944640043849,0.0028772431759050143,0.0028772431759050143
Insurgentes Mixcoac,Benito Juarez,2026-06,-0.085763004930562,-0.05824203297427721,-0.11360884680388365,0.006156958278294669,0.0275209719562848,-0.0275209719562848,True,Estable,Estable,True,-0.0661872790136579,0.01957572591690411,-0.01957572591690411
Insurgentes San Borja,Benito Juarez,2026-06,-0.2483876445931446,-0.24623567739734528,-0.27341904018745444,-0.21100487967707093,0.002151967195799326,-0.002151967195799326,True,Estable,Estable,True,-0.2504515522315851,0.0020639076384404986,0.0020639076384404986
Irrigacion,Miguel Hidalgo,2026-06,-0.1204191591819496,-0.11911591361846724,-0.16049023191620024,-0.03776629273427448,0.0013032455634823664,-0.0013032455634823664,True,Estable,Estable,True,-0.1245866627326605,0.0041675035507108965,0.0041675035507108965
Josefa Ortiz de Dominguez,Benito Juarez,2026-06,-0.2186319707243944,-0.23675533879796548,-0.2672819671280755,-0.19618650600279391,0.018123368073571094,0.018123368073571094,True,Decreciente,Decreciente,True,-0.1954582442838355,0.023173726440558873,-0.023173726440558873
Juarez,Cuauhtemoc,2026-06,1.4628727689636292,1.4329047085709412,1.3695368221037554,1.6128939109356168,0.029968060392687956,0.029968060392687956,True,Creciente,Creciente,True,1.395726367378512,0.06714640158511709,0.06714640158511709
Letran Valle,Benito Juarez,2026-06,-0.1870654150544934,-0.19510953794345365,-0.23470782394025305,-0.17931115367744735,0.008044122888960253,0.008044122888960253,True,Estable,Estable,True,-0.183348287919889,0.0037171271346043977,-0.0037171271346043977
Lomas de Chapultepec Seccion III,Miguel Hidalgo,2026-06,-0.2483597102126712,-0.25612945737353554,-0.30253566774401996,-0.2147790471773333,0.007769747160864343,0.007769747160864343,True,Estable,Estable,True,-0.2572414567215678,0.008881746508896587,0.008881746508896587
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,2026-06,-0.2622011206611091,-0.2634982798157805,-0.29299309680195507,-0.22977522372376047,0.001297159154671379,0.001297159154671379,True,Estable,Estable,True,-0.2645722267597389,0.0023711060986297827,0.0023711060986297827
Lomas de Chapultepec Seccion V,Miguel Hidalgo,2026-06,-0.2720110523381573,-0.2817167974501158,-0.3121956290510873,-0.22948697478476393,0.009705745111958486,0.009705745111958486,True,Estable,Estable,True,-0.2792337668360812,0.007222714497923888,0.007222714497923888
Mariano Escobedo,Miguel Hidalgo,2026-06,-0.2256378479150332,-0.23437719488471176,-0.2635950957740662,-0.20578565106721605,0.008739346969678569,0.008739346969678569,True,Estable,Estable,True,-0.2360163202157001,0.010378472300666908,0.010378472300666908
Modelo Pensil,Miguel Hidalgo,2026-06,-0.2344570619034044,-0.24231104829036737,-0.26012216966356483,-0.17039336891354248,0.007853986386962969,0.007853986386962969,True,Estable,Estable,True,-0.2427508104277483,0.008293748524343891,0.008293748524343891
Molino del Rey,Miguel Hidalgo,2026-06,-0.5479506685451736,-0.5549296658774872,-0.6056064251251615,-0.37654381170366924,0.006978997332313552,0.006978997332313552,True,Estable,Estable,True,-0.556783855025178,0.008833186480004418,0.008833186480004418
Napoles,Benito Juarez,2026-06,0.0991502305586783,0.13471366462043538,0.07204701100943345,0.33790597187061927,0.03556343406175708,-0.03556343406175708,True,Estable,Decreciente,False,0.1294759462498004,0.030325715691122107,-0.030325715691122107
Narvarte,Benito Juarez,2026-06,0.3105397339103681,0.3371122528585335,0.2582976918756247,0.3541607010375763,0.026572518948165424,-0.026572518948165424,True,Estable,Decreciente,False,0.3346509510424323,0.02411121713206421,-0.02411121713206421
Narvarte Poniente,Benito Juarez,2026-06,0.2677143667337796,0.29865654280084625,0.24034290443121795,0.34915828590799486,0.030942176067066673,-0.030942176067066673,True,Estable,Decreciente,False,0.3128857415813725,0.04517137484759293,-0.04517137484759293
Nextitla,Miguel Hidalgo,2026-06,-0.2245446417023136,-0.23164894332034355,-0.2588077773209481,-0.21037810619787137,0.00710430161802994,0.00710430161802994,True,Estable,Estable,True,-0.2276166586753935,0.0030720169730798774,0.0030720169730798774
Niños Heroes de Chapultepec,Benito Juarez,2026-06,-0.1665301158811621,-0.1713964837866755,-0.19906949040948654,-0.1642188252122108,0.004866367905513397,0.004866367905513397,True,Estable,Estable,True,-0.1695664578133357,0.003036341932173614,0.003036341932173614
Noche Buena,Benito Juarez,2026-06,-0.2584604058425857,-0.2620867039187087,-0.30066897330317105,-0.21732054035186865,0.003626298076122969,0.003626298076122969,True,Estable,Estable,True,-0.2649704298291676,0.006510023986581848,0.006510023986581848
