evaluation_scope,zone_id,n_predictions,mae_persistence,mae_temporal,mae_temporal_spatial,spatial_improvement_pct,mean_neighbor_coverage,colonia
EVALUATION_ALL,col_f884dc870afb59218eed6bb359ce0e0f,49,757.9387755102041,2503.588979643235,2504.3806033126066,-0.03161955400061753,,Guadalupe Chimalistac
EVALUATION_ALL,col_f8e6271a3b155d19906933df376c56d8,40,1027.6,3448.161243610813,3765.311571849257,-9.19766524335542,,Ampliacion Napoles
EVALUATION_ALL,col_fb144842ece557ce8e184ba17ea11743,66,502.3787878787879,1778.0112056802075,2276.8216784991214,-28.054405462989518,0.6151515151515152,Un Hogar para Nosotros
EVALUATION_ALL,col_ffeedd6a32945225b84ecc416148dd76,5,3946.2,26958.502246197342,20727.27877865732,23.114130787510547,0.55,San Rafael
EVALUATION_ALL,col_fff7ee1276da58efb088edf2d4f0141e,8,4019.875,9906.073150130826,8314.780077186477,16.06381306525415,0.8,Narvarte
EVALUATION_SPATIAL_COMPARABLE,col_075ade1e8b735efcac21da8802b37c0a,49,160.91836734693877,407.1105664142653,586.9937259527893,-44.18533302215485,0.9047619047619048,Obrero Popular
EVALUATION_SPATIAL_COMPARABLE,col_0d7a0b5c2d6b5f31bd586ed063d99183,44,250.63636363636363,921.177038349821,716.2333350159284,22.24802560222569,0.6818181818181818,San Alvaro
EVALUATION_SPATIAL_COMPARABLE,col_0f6878a834535080af77fae943ae9b95,2,9382.0,19608.24609817245,19644.42806378752,-0.18452423247809743,1.0,Tabacalera
EVALUATION_SPATIAL_COMPARABLE,col_145462232cb0506eac0d954b79bb4e67,48,363.8541666666667,1194.9782016493136,1039.3827540242373,13.020777066085628,0.8541666666666666,Tlatilco
EVALUATION_SPATIAL_COMPARABLE,col_175c1726756a5dda90d2345c13795848,34,530.1470588235294,1468.8755000126966,1535.8123492584432,-4.557013119571261,0.8382352941176471,Angel Zimbron
EVALUATION_SPATIAL_COMPARABLE,col_2006d9e5f6975534a01a4ae3d0063ec1,53,2296.0377358490564,4548.082807259323,4628.243118958871,-1.7625077443972954,0.839622641509434,Plutarco Elias Calles
EVALUATION_SPATIAL_COMPARABLE,col_218c753a6a38548aa02718260c2caef7,52,132.75,285.4956444546648,456.7866106134567,-59.99775109913875,0.7243589743589743,Del Recreo
EVALUATION_SPATIAL_COMPARABLE,col_21faee63d17e537f90a501b5c0313a20,44,1148.1818181818182,2418.68099619291,2980.6536874416165,-23.23467593011529,0.6818181818181818,General Pedro Maria Anaya
EVALUATION_SPATIAL_COMPARABLE,col_321ef9a198015257a1d0afd095d56686,54,209.77777777777777,724.8783641776703,706.5040716230989,2.5348104540843774,0.8611111111111112,Victoria de las Democracias
EVALUATION_SPATIAL_COMPARABLE,col_347bf8c118ae5cde8343a717c911525d,50,509.8,1594.1751932227467,1687.6513977428085,-5.863609276913448,0.7866666666666666,Independencia
EVALUATION_SPATIAL_COMPARABLE,col_34ef10debc6452f7a37e4eb02f41010f,39,648.6153846153846,1074.158461444727,1576.1230306155155,-46.73096076491859,0.7307692307692307,Villa Coyoacan
EVALUATION_SPATIAL_COMPARABLE,col_39b7c034d6a15d22952ae31d1eab536a,32,870.1875,2846.7481393955986,3451.8202390199613,-21.25485185186868,0.575,Tlaxpana
EVALUATION_SPATIAL_COMPARABLE,col_3c107741e9aa5999ac5f00ed40d5deea,53,613.6981132075472,1111.8099931800866,1402.0420751256845,-26.104467825069026,0.6163522012578616,San Diego Churubusco
EVALUATION_SPATIAL_COMPARABLE,col_46ef3d6067b85bc580fd6f574f0e5a26,34,1064.735294117647,2169.491747473814,2490.9525554291245,-14.817332600118153,0.8949579831932769,Claveria
EVALUATION_SPATIAL_COMPARABLE,col_47716220585b527aaf095e5cd827326f,35,277.22857142857146,968.8826021132635,731.3115008848383,24.520112210731266,1.0,San Angel
EVALUATION_SPATIAL_COMPARABLE,col_479170cdfd5b53c484ffa7a376547b3a,13,2501.5384615384614,7733.572084875185,8576.754947460791,-10.902890065958626,0.5769230769230769,Alamos
EVALUATION_SPATIAL_COMPARABLE,col_49351caf73a652ba8bcc7655ce37dd18,18,2500.777777777778,5243.267864345591,5893.31354604573,-12.397720248482297,0.8333333333333334,Anahuac
EVALUATION_SPATIAL_COMPARABLE,col_4a6ce89e87ac5037b13cd12239825b31,7,311.7142857142857,1302.2886928074981,3404.6660064164957,-161.43711645661713,1.0,Residencial Emperadores
EVALUATION_SPATIAL_COMPARABLE,col_4b057d99c17f5783822af98b43744780,37,1181.4054054054054,2104.597364114745,2403.3504509892177,-14.195260906835605,0.7432432432432432,Santa Catarina
EVALUATION_SPATIAL_COMPARABLE,col_4d16bf4016d1531fac1806d04420e1fc,43,961.8372093023256,2389.865649278499,3226.2991181006464,-34.99918370200714,0.6337209302325582,Acacias
EVALUATION_SPATIAL_COMPARABLE,col_506a1cf0beec53eb97a74f9abc9cfe66,37,1562.7567567567567,3125.069040185365,3735.1131773737097,-19.52098111573752,0.6036036036036038,San Jose Insurgentes
EVALUATION_SPATIAL_COMPARABLE,col_543d04998daf5e4ab3306049617a67b4,41,935.8048780487804,1697.1176661314753,1768.9687791819788,-4.2337142841890145,1.0,Florida
EVALUATION_SPATIAL_COMPARABLE,col_5481a24d7414578eb3d8dcf5c715fb23,54,412.6666666666667,1217.037168358813,1419.0605320489628,-16.599605085404285,0.6172839506172839,Niños Heroes de Chapultepec
EVALUATION_SPATIAL_COMPARABLE,col_62bb8f5cf8d25a898a34208ad6dee465,6,3939.1666666666665,5949.852579955549,7741.901171374438,-30.119209969270816,0.3333333333333333,San Miguel Chapultepec
EVALUATION_SPATIAL_COMPARABLE,col_64a29c6aaaf85a42bb0e87a40667ac42,43,598.6046511627907,1766.4345776877092,2004.449810478198,-13.474330484520666,0.586046511627907,Insurgentes San Borja
EVALUATION_SPATIAL_COMPARABLE,col_6573c9286c5a50288130ecf1765ab3b5,21,3003.0476190476193,7368.516474563507,7480.891224794349,-1.5250661462014206,0.8761904761904763,Del Carmen
EVALUATION_SPATIAL_COMPARABLE,col_6954f4d5482a5e07b5721c81d464cd43,20,838.45,1638.7099953928068,3092.4163417890004,-88.71040943688959,0.7,Algarin
EVALUATION_SPATIAL_COMPARABLE,col_6bf10fd8943e5967b7603760fb6cd344,13,4430.153846153846,9300.57906232137,9751.47388591385,-4.848029575052494,0.75,Napoles
EVALUATION_SPATIAL_COMPARABLE,col_6e932760ad7e5318b2922fea188ea3f8,51,570.6862745098039,1378.7863707887748,1607.6608310333631,-16.599704282952413,0.8725490196078431,Cuauhtemoc Pensil
EVALUATION_SPATIAL_COMPARABLE,col_6f85f8cb1357503bae86559c4ab47194,31,1372.9032258064517,3303.197997276555,4262.026656866995,-29.02728387402094,0.43548387096774194,Veronica Anzures
EVALUATION_SPATIAL_COMPARABLE,col_76d47b3676925748aa9d3dee653c6562,51,279.6862745098039,1081.0349076193886,884.6716106066802,18.16438078259024,1.0,Modelo Pensil
EVALUATION_SPATIAL_COMPARABLE,col_77126fcee0bf5162978113f718dc8420,3,3149.3333333333335,1878.209793579698,5690.176467042565,-202.95744844337128,0.5,Hipodromo Condesa
EVALUATION_SPATIAL_COMPARABLE,col_7d88ca5b0c8d519c962986381a6c0a11,21,1660.6190476190477,5878.272743748835,6600.160558168859,-12.2806110891623,0.6825396825396824,San Pedro de los Pinos
EVALUATION_SPATIAL_COMPARABLE,col_81496637921a5e749f117e8ef4f2ee99,49,228.83673469387756,565.164579492119,1188.6074374119357,-110.31173582747687,0.5510204081632653,Credito Constructor
EVALUATION_SPATIAL_COMPARABLE,col_81ad18034e5855e38b63dfffe608d3d3,29,823.7241379310345,2111.379947485184,2620.7549889064203,-24.12521924478544,0.6344827586206897,Letran Valle
EVALUATION_SPATIAL_COMPARABLE,col_84c2fef5059c546e9a59e6816fb7e72b,38,585.7894736842105,1930.8358442354622,2813.5474605237528,-45.71655425414017,0.5842105263157895,Extremadura Insurgentes
EVALUATION_SPATIAL_COMPARABLE,col_8694171d7ed551d78020504424e7148c,39,529.8205128205128,1498.9744646570427,1407.9788661733262,6.070523589908908,0.8589743589743589,Xoco
EVALUATION_SPATIAL_COMPARABLE,col_8dd63c1e84435db49a927bcd4b149776,42,567.5238095238095,1221.6399764626453,1446.0038600782002,-18.365794173273382,0.5952380952380952,Atlampa
EVALUATION_SPATIAL_COMPARABLE,col_8e89f7e8963258c3b4c0ec85deb35ae9,19,1507.842105263158,6091.1891717979815,8505.643525181751,-39.63847264114894,0.6842105263157897,Tlacoquemecatl del Valle
EVALUATION_SPATIAL_COMPARABLE,col_926ff32000a751399a54daad7479254d,21,2683.6666666666665,6175.114642993973,5939.131412664108,3.821519825508036,0.6071428571428571,Anzures
EVALUATION_SPATIAL_COMPARABLE,col_92cd6e3f23155eedb10936246b2da76c,40,1426.375,4917.546679175744,4430.708012265982,9.900031431757842,0.7050000000000001,Popotla
EVALUATION_SPATIAL_COMPARABLE,col_9bbea60acc995fa7b9c482efc14ebb94,30,1234.6666666666667,2214.741111336372,2760.0375256814073,-24.62122600036102,0.7200000000000002,Ciudad de los Deportes
EVALUATION_SPATIAL_COMPARABLE,col_9f7b23fc019150a58f8d3fa8ecb0545b,19,1755.3157894736842,4259.795535518458,4495.039116175359,-5.522414836473358,0.7017543859649119,Actipan
EVALUATION_SPATIAL_COMPARABLE,col_a069943804255517b1a44551a37b7d8e,16,4515.625,11494.188790954253,13178.140140393298,-14.65045841916472,0.5312499999999998,Insurgentes Mixcoac
EVALUATION_SPATIAL_COMPARABLE,col_a11503ab8f7b52ecba6e146f1cd2bcae,40,426.35,1654.573950337321,1703.343589173742,-2.9475647689532476,0.69375,Noche Buena
EVALUATION_SPATIAL_COMPARABLE,col_a20da3b32dc95373bfc155a68e4197fa,2,8169.5,34903.92267616541,31646.933099833164,9.331299540599561,0.5,Roma Sur
EVALUATION_SPATIAL_COMPARABLE,col_a21a9068f97957a2a0828f64e9102bde,44,861.1590909090909,1434.9549329329095,1296.1960164656196,9.66991459332316,0.8409090909090909,Nueva Santa Maria
EVALUATION_SPATIAL_COMPARABLE,col_a8d3b136a1115b0380f6f041ad7b12a8,58,244.3793103448276,566.9160369810523,587.0665576019562,-3.554410054830986,0.7816091954022988,Sector Naval
EVALUATION_SPATIAL_COMPARABLE,col_aaef3bfb4fb259e8ab32bf1eb9404368,33,445.90909090909093,1556.7789669456422,1243.334407885175,20.134172269518565,1.0,San Mateo
