station_id,zone_id_catalog,zone_id_spatial,inside_catalog_polygon,distance_to_catalog_polygon_m,possible_zone_candidate,candidate_basis,n_covering_polygons,status,assignment_changed
564,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
565,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
566,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
567,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
568,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
569,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
570,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
571,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
572,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
573,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
