feature_name,horizon,n_rows_total,n_valid,coverage,coverage_evaluation_all,calibration_coverage,selected_for_model
sin_month,6,1802,1802,1.0,1.0,1.0,True
cos_month,6,1802,1802,1.0,1.0,1.0,True
trend_3,6,1802,942,0.5227524972253053,0.8634280476626948,0.7550432276657061,True
trend_6,6,1802,781,0.43340732519422864,0.7158570119156737,0.4668587896253602,False
trend_12,6,1802,420,0.23307436182019978,0.384967919340055,0.11959654178674352,False
neighbor_trips_lag1,6,1802,1070,0.5937846836847946,0.6461961503208066,,True
neighbor_growth_lag1,6,1802,1000,0.5549389567147613,0.6076993583868011,,True
neighbor_trips_mean_lag3,6,1802,929,0.5155382907880133,0.5618698441796517,,True
neighbor_active_zones,6,1802,1343,0.7452830188679245,0.7268560953253895,,True
neighbor_observation_coverage,6,1802,1343,0.7452830188679245,0.7268560953253895,,True
lag_1,12,1696,1019,0.6008254716981132,1.0,1.0,True
lag_3,12,1696,1553,0.9156839622641509,0.9214916584887144,0.760806916426513,True
