zone_id,colonia,alcaldia,geometry_available,geometry_valid,geometry_type,geometry_usable,validity_error,repairability,repair_method_proposed,geometry_repaired,source_crs,analysis_crs,export_crs,area_m2,area_km2,centroid_x,centroid_y,centroid_lon,centroid_lat,n_neighbors_queen,n_neighbors_distance,n_overlap_pairs,notes
col_aaef3bfb4fb259e8ab32bf1eb9404368,San Mateo,Coyoacan,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,310097.5645869692,0.3100975645869692,484426.66577996395,2139771.972018855,-99.14827968097217,19.35190126906916,1.0,0.0,2,positive_area_intersections_reported
col_abad05146e545e0cb59abdc228f8373c,San Simon Ticumac,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,603132.1869496199,0.6031321869496199,484810.72441103676,2142315.306365883,-99.14464318969826,19.374889082945163,3.0,0.0,0,
col_aeb67b70520e58b895caf170c4cc2b7b,Postal,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,258492.69184067866,0.25849269184067863,485093.3029882696,2144075.2133677904,-99.14196606111553,19.390795976278337,3.0,0.0,1,positive_area_intersections_reported
col_af634a3d6a0956f8930194b36da1dbde,Buenavista,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1080159.1946924452,1.0801591946924451,484204.532395935,2150170.379701805,-99.15048106022041,19.445872668080703,2.0,0.0,0,
col_b0071da2a8ad5c38b1d137c8dd21a966,Unidad Habitacional Cuitláhuac,Azcapotzalco,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_b0d667d100335a2cbd38dd885b4a49ae,Granada,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1429392.2176239502,1.4293922176239502,479474.5283590225,2149627.3296630983,-99.19553705201841,19.4409220464796,4.0,0.0,1,positive_area_intersections_reported
col_b311567e717b53408adc7485d395fbd0,Del Valle Sur,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_b9647cb13b4b5ebebd069fd56e70a36f,Juarez,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1565509.5622394593,1.5655095622394593,482957.36952774465,2148055.415098708,-99.16234356295618,19.426749024765854,5.0,0.0,2,positive_area_intersections_reported
col_ba378e9f675c57f6b84cd80ba4906921,San Salvador Xochimanca,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,330707.4241881736,0.3307074241881736,481782.8820277093,2151686.799606591,-99.17356626246344,19.459556252558176,2.0,0.0,3,positive_area_intersections_reported
col_bbdf83c90b8d5945967637dfe673bde4,Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_bd478b6a570f533f803bd0118bf3f055,Santa Maria la Ribera,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1810798.3721797857,1.8107983721797858,483331.81859818846,2150441.768925536,-99.158797636807,19.44831818300715,5.0,0.0,1,positive_area_intersections_reported
col_bed54b5fa7b155169b5367f26e64ee77,Barrio la Concepcion,Coyoacan,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_c00d00bb38f656119c21216810bac6c9,Barrio San Lucas,Coyoacan,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_c4ce45851ad35a61b8fb1e683c4b52a5,Vertiz Narvarte,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,439013.4736717002,0.43901347367170024,483861.73734654085,2143102.7213708833,-99.15368677618001,19.38199776644505,2.0,0.0,1,positive_area_intersections_reported
col_c84c8cba11e05de082c7496795578d88,Santo Tomas,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,162171.044926465,0.162171044926465,482134.0651969791,2150829.0454476955,-99.17021223789835,19.451807731596503,3.0,0.0,1,positive_area_intersections_reported
col_cbe1b970a3525757af7647d6463839ff,Del Valle Norte,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_cbef3a463b0b5bc2ac31e747b6721178,Guadalupe Inn,Alvaro Obregon,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,685873.5057511912,0.6858735057511912,480337.0131152624,2140315.236924137,-99.18722429383214,19.356775053787707,1.0,0.0,2,positive_area_intersections_reported
col_cda58c28c9e35bd7b4c277287cc632da,Polanco Seccion I/ Los Morales,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_d230756d48c258b4b050767d29182a80,Irrigacion,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,970700.2807634162,0.9707002807634162,477963.37312981614,2149854.054404483,-99.20993572147442,19.442954917455335,0.0,0.0,2,queen_isolate_no_fallback;positive_area_intersections_reported
col_d24f94824377561c8616923a56c96081,Ignacio Allende,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,97973.0343379106,0.0979730343379106,483008.91967962676,2152508.727077825,-99.1618924177087,19.466994975113987,2.0,0.0,0,
col_d40150e91a0457b18f3ac9b3be178bdc,Molino del Rey,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,2046645.6941993139,2.046645694199314,479128.8918492557,2147067.671376637,-99.19880161830481,19.417786303726086,1.0,0.0,1,positive_area_intersections_reported
col_d4e474286fa85c0aa9cd393c8e2880c1,Axotla,Alvaro Obregon,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,288629.9873575617,0.28862998735756173,481627.36038987164,2140492.612235591,-99.174939797938,19.358390261823498,1.0,0.0,3,positive_area_intersections_reported
col_de2ee5e1ae0955e6845ef669ea127a75,Tacuba,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,710887.8020973514,0.7108878020973514,480362.87608238397,2151334.4544832325,-99.18709187399409,19.45635858861264,2.0,0.0,0,
col_debb68f1d0525506bae6ef15b9e39d2f,Hogar y Seguridad,Azcapotzalco,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
