colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Centro,Cuauhtemoc,3,1.6081406319379101,1.400983985349224,1.8565996031714909,Estable
Centro,Cuauhtemoc,5,1.5619392362245674,1.2166781585767574,1.9760375216138688,Estable
Centro Urbano Presidente Aleman,Benito Juarez,1,-0.3884468030002118,-0.4172665328707631,-0.3558944118142826,Estable
Centro Urbano Presidente Aleman,Benito Juarez,3,-0.4940559617001101,-0.5805151513117639,-0.3963987881423225,Estable
Centro Urbano Presidente Aleman,Benito Juarez,5,-0.5996651204000085,-0.7437637697527648,-0.4369031644703624,Estable
Ciudad de los Deportes,Benito Juarez,1,-0.2773915358493815,-0.2993295982398237,-0.2501631952896283,Estable
Ciudad de los Deportes,Benito Juarez,3,-0.3731606000223625,-0.438974787193689,-0.291475578343103,Estable
Ciudad de los Deportes,Benito Juarez,5,-0.46892966419534343,-0.5786199761475543,-0.3327879613965777,Estable
Claveria,Azcapotzalco,1,-0.13466289804864295,-0.15981512397984998,-0.06323380536552818,Estable
Claveria,Azcapotzalco,3,-0.15297212447684763,-0.2284288022704687,0.06131515357249673,Estable
Claveria,Azcapotzalco,5,-0.1712813509050523,-0.2970424805610874,0.1858641125105216,Estable
Condesa,Cuauhtemoc,1,0.5794010434189585,0.5332406778791547,0.6207941084869608,Estable
Condesa,Cuauhtemoc,3,0.4313401079666588,0.29285901134724773,0.5555193031706658,Estable
Condesa,Cuauhtemoc,5,0.2832791725143591,0.05247734481534072,0.49024449785437074,Estable
Credito Constructor,Benito Juarez,1,-0.41843978884760785,-0.4511912731111127,-0.384191115287218,Estable
Credito Constructor,Benito Juarez,3,-0.5215468722635297,-0.6198013250540442,-0.41880085158236013,Estable
Credito Constructor,Benito Juarez,5,-0.6246539556794515,-0.7884113769969756,-0.4534105878775022,Estable
Cuauhtemoc,Cuauhtemoc,1,1.3500713766107302,1.3023819272248645,1.3942116480089055,Estable
Cuauhtemoc,Cuauhtemoc,3,1.2018020331361832,1.0587336849785862,1.334222847330709,Estable
