zone_id,neighbor_zone_id,relation_type,distance_centroid_m,weight_raw,weight_normalized
col_506a1cf0beec53eb97a74f9abc9cfe66,col_9f7b23fc019150a58f8d3fa8ecb0545b,queen,852.4868842943145,1.0,0.3333333333333333
col_9f7b23fc019150a58f8d3fa8ecb0545b,col_506a1cf0beec53eb97a74f9abc9cfe66,queen,852.4868842943145,1.0,0.16666666666666666
col_506a1cf0beec53eb97a74f9abc9cfe66,col_a069943804255517b1a44551a37b7d8e,queen,721.3655831873824,1.0,0.3333333333333333
col_a069943804255517b1a44551a37b7d8e,col_506a1cf0beec53eb97a74f9abc9cfe66,queen,721.3655831873824,1.0,0.16666666666666666
col_5176ae04e5c95d57b5192bbca17b2436,col_5322fef4c1c650588d41946f956ec97e,queen,807.2720903767389,1.0,0.5
col_5322fef4c1c650588d41946f956ec97e,col_5176ae04e5c95d57b5192bbca17b2436,queen,807.2720903767389,1.0,0.2
col_5176ae04e5c95d57b5192bbca17b2436,col_b9647cb13b4b5ebebd069fd56e70a36f,queen,1977.9528730425864,1.0,0.5
col_b9647cb13b4b5ebebd069fd56e70a36f,col_5176ae04e5c95d57b5192bbca17b2436,queen,1977.9528730425864,1.0,0.2
col_5322fef4c1c650588d41946f956ec97e,col_77126fcee0bf5162978113f718dc8420,queen,868.9408402579218,1.0,0.2
col_77126fcee0bf5162978113f718dc8420,col_5322fef4c1c650588d41946f956ec97e,queen,868.9408402579218,1.0,0.5
col_5322fef4c1c650588d41946f956ec97e,col_9b8d9872383b59f7a23d22ab97fc79d8,queen,1353.9311683556218,1.0,0.2
col_9b8d9872383b59f7a23d22ab97fc79d8,col_5322fef4c1c650588d41946f956ec97e,queen,1353.9311683556218,1.0,0.25
col_5322fef4c1c650588d41946f956ec97e,col_a20da3b32dc95373bfc155a68e4197fa,queen,989.8923739092202,1.0,0.2
col_a20da3b32dc95373bfc155a68e4197fa,col_5322fef4c1c650588d41946f956ec97e,queen,989.8923739092202,1.0,0.25
col_5322fef4c1c650588d41946f956ec97e,col_f1b446f58ae65b7f8a814bab39bf17dc,queen,1160.687755495901,1.0,0.2
col_f1b446f58ae65b7f8a814bab39bf17dc,col_5322fef4c1c650588d41946f956ec97e,queen,1160.687755495901,1.0,0.25
col_543d04998daf5e4ab3306049617a67b4,col_d4e474286fa85c0aa9cd393c8e2880c1,queen,587.3631709716642,1.0,1.0
col_d4e474286fa85c0aa9cd393c8e2880c1,col_543d04998daf5e4ab3306049617a67b4,queen,587.3631709716642,1.0,1.0
col_5481a24d7414578eb3d8dcf5c715fb23,col_aeb67b70520e58b895caf170c4cc2b7b,queen,546.600414476661,1.0,0.3333333333333333
col_aeb67b70520e58b895caf170c4cc2b7b,col_5481a24d7414578eb3d8dcf5c715fb23,queen,546.600414476661,1.0,0.3333333333333333
col_5481a24d7414578eb3d8dcf5c715fb23,col_eadac3374f095a63b927c12303b7218a,queen,387.4627703213486,1.0,0.3333333333333333
col_eadac3374f095a63b927c12303b7218a,col_5481a24d7414578eb3d8dcf5c715fb23,queen,387.4627703213486,1.0,0.5
col_5481a24d7414578eb3d8dcf5c715fb23,col_fff7ee1276da58efb088edf2d4f0141e,queen,1351.6985735551257,1.0,0.3333333333333333
col_fff7ee1276da58efb088edf2d4f0141e,col_5481a24d7414578eb3d8dcf5c715fb23,queen,1351.6985735551257,1.0,0.2
col_62bb8f5cf8d25a898a34208ad6dee465,col_d40150e91a0457b18f3ac9b3be178bdc,queen,1273.2543678660682,1.0,0.3333333333333333
