zone_id,colonia,alcaldia,aliases,geometry_available,n_estaciones_catalogo_actual,station_history_available
col_145462232cb0506eac0d954b79bb4e67,Tlatilco,Azcapotzalco,"[""Tlatilco""]",True,3,False
col_b0071da2a8ad5c38b1d137c8dd21a966,Unidad Habitacional Cuitláhuac,Azcapotzalco,"[""Unidad Habitacional Cuitláhuac""]",False,1,False
col_321ef9a198015257a1d0afd095d56686,Victoria de las Democracias,Azcapotzalco,"[""Victoria de las Democracias""]",True,1,False
col_4d16bf4016d1531fac1806d04420e1fc,Acacias,Benito Juarez,"[""Acacias""]",True,5,False
col_9f7b23fc019150a58f8d3fa8ecb0545b,Actipan,Benito Juarez,"[""Actipan""]",True,6,False
col_479170cdfd5b53c484ffa7a376547b3a,Alamos,Benito Juarez,"[""Alamos""]",True,9,False
col_49f6b5a0ab625bda9ca00f7acd601c17,Americas Unidas,Benito Juarez,"[""Americas Unidas""]",False,3,False
col_f8e6271a3b155d19906933df376c56d8,Ampliacion Napoles,Benito Juarez,"[""Ampliacion Napoles""]",False,4,False
col_e72f76ae560a556e957e54c180d9d323,Centro Urbano Presidente Aleman,Benito Juarez,"[""Centro Urbano Presidente Aleman""]",True,1,False
col_9bbea60acc995fa7b9c482efc14ebb94,Ciudad de los Deportes,Benito Juarez,"[""Ciudad de los Deportes""]",True,5,False
col_81496637921a5e749f117e8ef4f2ee99,Credito Constructor,Benito Juarez,"[""Credito Constructor""]",True,1,False
col_058b0a95e3e35746bf806f626cc29e3c,Del Valle Centro,Benito Juarez,"[""Del Valle Centro"", ""Del valle Centro""]",False,15,False
col_cbe1b970a3525757af7647d6463839ff,Del Valle Norte,Benito Juarez,"[""Del Valle Norte""]",False,17,False
col_b311567e717b53408adc7485d395fbd0,Del Valle Sur,Benito Juarez,"[""Del Valle Sur""]",False,15,False
col_84c2fef5059c546e9a59e6816fb7e72b,Extremadura Insurgentes,Benito Juarez,"[""Extremadura Insurgentes""]",True,2,False
col_21faee63d17e537f90a501b5c0313a20,General Pedro Maria Anaya,Benito Juarez,"[""General Pedro Maria Anaya""]",True,5,False
col_347bf8c118ae5cde8343a717c911525d,Independencia,Benito Juarez,"[""Independencia""]",True,2,False
col_a069943804255517b1a44551a37b7d8e,Insurgentes Mixcoac,Benito Juarez,"[""Insurgentes Mixcoac""]",True,7,False
col_64a29c6aaaf85a42bb0e87a40667ac42,Insurgentes San Borja,Benito Juarez,"[""Insurgentes San Borja""]",True,3,False
col_eadac3374f095a63b927c12303b7218a,Josefa Ortiz de Dominguez,Benito Juarez,"[""Josefa Ortiz de Dominguez""]",True,1,False
